Time Stamp,Total USD,%ETH
7/18/17 3:30,#ERROR!,#ERROR!
7/18/17 4:30,37329.68073,82.32747854
7/18/17 5:30,37426.79891,82.27863845
7/18/17 6:30,#ERROR!,#ERROR!
7/18/17 7:30,#ERROR!,#ERROR!
7/18/17 8:30,#ERROR!,#ERROR!
7/18/17 9:30,#ERROR!,#ERROR!
7/18/17 10:30,#ERROR!,#ERROR!
7/18/17 11:30,#ERROR!,#ERROR!
7/18/17 12:30,#NAME?,#NAME?
7/18/17 13:27,41478.70843,82.31917696
7/18/17 14:30,#ERROR!,#ERROR!
7/18/17 15:30,#ERROR!,#ERROR!
7/18/17 16:30,#ERROR!,#ERROR!
7/18/17 17:30,#ERROR!,#ERROR!
7/18/17 18:30,#ERROR!,#ERROR!
7/18/17 19:30,#ERROR!,#ERROR!
7/18/17 20:30,41552.77535,83.20064131
7/18/17 21:29,42188.0206,83.22333034
7/18/17 22:30,#ERROR!,#ERROR!
7/18/17 23:30,#ERROR!,#ERROR!
7/19/17 0:30,#ERROR!,#ERROR!
7/19/17 1:30,#ERROR!,#ERROR!
7/19/17 2:30,46136.21762,83.96841084
7/19/17 3:30,46201.73262,83.9093267
7/19/17 4:30,44502.93048,83.72183842
7/19/17 5:30,#ERROR!,#ERROR!
7/19/17 6:30,#ERROR!,#ERROR!
7/19/17 7:30,43985.50166,83.4436543
7/19/17 8:30,#ERROR!,#ERROR!
7/19/17 9:30,43493.63833,83.47644689
7/19/17 10:30,#ERROR!,#ERROR!
7/19/17 11:30,#ERROR!,#ERROR!
7/19/17 12:30,#NAME?,#NAME?
7/19/17 13:30,#ERROR!,#ERROR!
7/19/17 14:30,41194.94424,83.15959688
7/19/17 15:27,39407.26411,83.46367967
7/19/17 16:22,40577.11833,84.23983367
7/19/17 17:22,39596.35506,83.71889343
7/19/17 18:30,37572.75768,83.08162609
7/19/17 19:30,#ERROR!,#ERROR!
7/19/17 20:30,#ERROR!,#ERROR!
7/19/17 21:25,40619.86244,83.44445982
7/19/17 22:30,41880.13021,83.65959073
7/19/17 23:30,41651.65205,83.60004679
7/20/17 0:30,40088.36661,83.12936774
7/20/17 1:30,#ERROR!,#ERROR!
7/20/17 2:30,40277.974,83.22008426
7/20/17 3:30,#ERROR!,#ERROR!
7/20/17 4:30,#ERROR!,#ERROR!
7/20/17 5:30,#ERROR!,#ERROR!
7/20/17 6:30,#ERROR!,#ERROR!
7/20/17 7:30,#ERROR!,#ERROR!
7/20/17 8:30,#ERROR!,#ERROR!
7/20/17 9:30,#ERROR!,#ERROR!
7/20/17 10:30,#ERROR!,#ERROR!
7/20/17 11:30,44027.91987,83.04307154
7/20/17 12:30,#NAME?,#NAME?
7/20/17 13:30,#ERROR!,#ERROR!
7/20/17 14:30,#ERROR!,#ERROR!
7/20/17 15:30,#ERROR!,#ERROR!
7/20/17 16:30,44061.92034,82.80993049
7/20/17 17:30,#ERROR!,#ERROR!
7/20/17 18:30,#ERROR!,#ERROR!
7/20/17 19:30,43565.91058,82.75882192
7/20/17 20:30,#ERROR!,#ERROR!
7/20/17 21:30,#ERROR!,#ERROR!
7/20/17 22:30,#ERROR!,#ERROR!
7/20/17 23:30,#ERROR!,#ERROR!
7/21/17 0:30,#ERROR!,#ERROR!
7/21/17 1:30,#ERROR!,#ERROR!
7/21/17 2:30,45497.98036,82.53410444
7/21/17 3:30,#ERROR!,#ERROR!
7/21/17 4:30,#NAME?,#NAME?
7/21/17 5:30,#ERROR!,#ERROR!
7/21/17 6:30,#ERROR!,#ERROR!
7/21/17 7:30,#ERROR!,#ERROR!
7/21/17 8:30,#ERROR!,#ERROR!
7/21/17 9:30,#ERROR!,#ERROR!
7/21/17 10:30,#ERROR!,#ERROR!
7/21/17 11:30,#ERROR!,#ERROR!
7/21/17 12:30,#NAME?,#NAME?
7/21/17 13:30,42762.53472,82.20449994
7/21/17 14:30,#ERROR!,#ERROR!
7/21/17 15:30,#ERROR!,#ERROR!
7/21/17 16:30,#ERROR!,#ERROR!
7/21/17 17:30,#ERROR!,#ERROR!
7/21/17 18:30,#ERROR!,#ERROR!
7/21/17 19:30,#ERROR!,#ERROR!
7/21/17 20:30,#NAME?,#NAME?
7/21/17 21:30,43690.82185,82.12952364
7/21/17 22:30,#ERROR!,#ERROR!
7/21/17 23:30,#ERROR!,#ERROR!
7/22/17 0:30,#ERROR!,#ERROR!
7/22/17 1:30,#ERROR!,#ERROR!
7/22/17 2:30,#ERROR!,#ERROR!
7/22/17 3:30,#ERROR!,#ERROR!
7/22/17 4:30,#ERROR!,#ERROR!
7/22/17 5:30,44261.4444,81.69937908
7/22/17 6:30,#ERROR!,#ERROR!
7/22/17 7:30,#ERROR!,#ERROR!
7/22/17 8:30,#ERROR!,#ERROR!
7/22/17 9:30,44014.12538,81.4614594
7/22/17 10:30,#NAME?,#NAME?
7/22/17 11:30,#ERROR!,#ERROR!
7/22/17 12:30,44052.57309,81.22235675
7/22/17 13:30,#ERROR!,#ERROR!
7/22/17 14:30,#ERROR!,#ERROR!
7/22/17 15:30,#ERROR!,#ERROR!
7/22/17 16:30,#NAME?,#NAME?
7/22/17 17:30,#ERROR!,#ERROR!
7/22/17 18:30,#NAME?,#NAME?
7/22/17 19:30,#ERROR!,#ERROR!
7/22/17 20:30,#NAME?,#NAME?
7/22/17 21:30,#ERROR!,#ERROR!
7/22/17 22:30,45190.45514,81.23821866
7/22/17 23:30,44691.3652,81.27548485
7/23/17 0:30,#ERROR!,#ERROR!
7/23/17 1:30,#ERROR!,#ERROR!
7/23/17 2:30,#ERROR!,#ERROR!
7/23/17 3:30,#ERROR!,#ERROR!
7/23/17 4:30,44130.81277,81.41232086
7/23/17 5:30,#ERROR!,#ERROR!
7/23/17 6:30,#ERROR!,#ERROR!
7/23/17 7:30,#ERROR!,#ERROR!
7/23/17 8:30,#ERROR!,#ERROR!
7/23/17 9:30,#ERROR!,#ERROR!
7/23/17 10:30,#ERROR!,#ERROR!
7/23/17 11:30,#ERROR!,#ERROR!
7/23/17 12:30,#ERROR!,#ERROR!
7/23/17 13:27,44929.47208,80.98381468
7/23/17 14:27,45062.87156,81.0650911
